net,length_um
arr.b10\[5\],117.18
net141,116.9
net276,116.82
_01964_,116.7
_05971_,116.695
_03628_,116.48
arr.b21\[2\],116.395
_02817_,116.38
_01754_,116.36
clknet_leaf_5_clk,116.28
clknet_leaf_113_clk,115.98
arr.a0\[4\],115.91
net539,115.74
_06807_,115.64
_08364_,115.26
net120,115.12
net427,114.9
_06386_,114.635
arr.b03\[2\],114.56
_02795_,114.37
_07653_,114.14
clknet_leaf_26_clk,113.92
_03586_,113.78
net563,113.78
_05172_,113.365
arr.a2\[0\],113.2
_02898_,113.035
_04475_,112.985
_04363_,112.98
arr.b11\[1\],112.94
arr.b3\[4\],112.94
net702,112.925
_07958_,112.86
_04867_,112.73
_02337_,112.68
_06374_,112.63
arr.b1\[4\],112.6
_05538_,112.58
_02803_,112.46
_03174_,112.02
_08395_,112
_02834_,111.995
arr.b13\[7\],111.76
net287,111.58
_08130_,111.34
_05344_,111.16
_04796_,111.06
clknet_leaf_27_clk,111.06
_08400_,111.02
clknet_leaf_138_clk,111.02
_01869_,110.96
arr.b2\[2\],110.95
_07956_,110.8
_02493_,110.79
arr.b02\[3\],110.54
arr.b3\[2\],110.44
_04753_,110.43
_01954_,110.42
_04752_,110.4
arr.b13\[4\],110.23
_08376_,110.17
_01811_,110.14
_05195_,110.08
net155,110
_01756_,109.42
_05569_,109.41
_03588_,109.28
clknet_leaf_125_clk,109.02
arr.b2\[0\],108.81
clknet_leaf_130_clk,108.705
_06366_,108.69
_01761_,108.68
net424,108.39
_05979_,108.36
arr.a01\[3\],108.34
arr.a0\[5\],108.16
_01888_,108.08
_07168_,107.17
_01783_,107.02
clknet_leaf_134_clk,106.93
_06010_,106.915
_05756_,106.615
_06783_,106.56
_07570_,106.47
clknet_leaf_87_clk,106.37
arr.a31\[1\],106.22
clknet_leaf_111_clk,106.22
_02319_,105.99
arr.b11\[7\],105.82
_03984_,105.6
arr.b11\[6\],105.44
_05590_,105.38
clknet_leaf_60_clk,105.22
_08355_,105.04
_02336_,104.92
_02570_,104.7
clknet_leaf_76_clk,104.66
_07733_,104.62
net393,104.455
_03633_,104.44
_02397_,104.22
_08527_,104.22
_02886_,104.12
_02139_,104.045
clknet_leaf_33_clk,103.9
_05661_,103.8
_02791_,103.67
_06762_,103.495
_06460_,103.165
_04472_,102.69
net567,102.61
_08050_,102.6
arr.b2\[6\],102.47
_02237_,102.31
_08342_,102.12
_05276_,102.1
_04006_,101.86
